Organisms	Organisms.1
senh	Salmonella enterica subsp. enterica serovar Heidelberg CFSAN002069
seeh	Salmonella enterica subsp. enterica serovar Heidelberg 41578
see	Salmonella enterica subsp. enterica serovar Newport SL254
senn	Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
sew	Salmonella enterica subsp. enterica serovar Schwarzengrund
sea	Salmonella enterica subsp. enterica serovar Agona SL483
sens	Salmonella enterica subsp. enterica serovar Agona 24249
sed	Salmonella enterica subsp. enterica serovar Dublin
seg	Salmonella enterica subsp. enterica serovar Gallinarum 287/91
sel	Salmonella enterica subsp. enterica serovar Gallinarum/pullorum RKS5078
sega	Salmonella enterica subsp. enterica serovar Gallinarum/pullorum CDC1983-67
set	Salmonella enterica subsp. enterica serovar Enteritidis P125109
sena	Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
seno	Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
senv	Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
senq	Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
senl	Salmonella enterica subsp. enterica serovar Enteritidis OLF-SE1-1019-1
senj	Salmonella enterica subsp. enterica serovar Javiana
seec	Salmonella enterica subsp. enterica serovar Cubana
seeb	Salmonella enterica subsp. enterica serovar Bareilly
seep	Salmonella enterica subsp. enterica serovar Pullorum
senb	Salmonella enterica subsp. enterica serovar Bovismorbificans
sene	Salmonella enterica subsp. enterica serovar Thompson
senc	Salmonella enterica subsp. enterica serovar Tennessee
ses	Salmonella enterica subsp. arizonae
sbg	Salmonella bongori NCTC 12419
sbz	Salmonella bongori N268-08
sbv	Salmonella bongori serovar 48:z41:--
salz	Salmonella sp. SSDFZ69
sfl	Shigella flexneri 301 (serotype 2a)
sfx	Shigella flexneri 2457T (serotype 2a)
sfv	Shigella flexneri 8401 (serotype 5b)
sfe	Shigella flexneri 2002017 (serotype Fxv)
sfn	Shigella flexneri 2003036
sfs	Shigella flexneri Shi06HN006 (serotype Yv)
sft	Shigella flexneri NCTC1 (serotype 2a)
ssn	Shigella sonnei Ss046
sbo	Shigella boydii Sb227 (serotype 4)
sbc	Shigella boydii CDC 3083-94 (serotype 18)
sdy	Shigella dysenteriae Sd197
sdz	Shigella dysenteriae 1617 (serotype 1)
shq	Shigella sp. PAMC 28760
enc	Enterobacter cloacae subsp. cloacae ATCC 13047
enl	Enterobacter cloacae subsp. dissolvens SDM
eclg	Enterobacter cloacae GGT036
ecle	Enterobacter cloacae ECNIH2
ecln	Enterobacter cloacae ECNIH4
ecli	Enterobacter cloacae ECNIH5
eclx	Enterobacter hormaechei subsp. xiangfangensis
ecly	Enterobacter hormaechei subsp. steigerwaltii
eclz	Enterobacter hormaechei subsp. hormaechei
eclo	Enterobacter hormaechei NCTC 9394
ehm	Enterobacter hormaechei CAV1176
exf	Enterobacter hormaechei subsp. xiangfangensis
ecla	Enterobacter hormaechei subsp. hoffmannii ECNIH3
eclc	Enterobacter hormaechei subsp. hoffmannii ECR091
eau	Enterobacter asburiae L1
ekb	Enterobacter kobei DSM 13645
eno	Enterobacter kobei ENHKU01
eec	Enterobacter ludwigii EcWSU1
elg	Enterobacter ludwigii EN-119
ecan	Enterobacter cancerogenus
ern	Enterobacter roggenkampii
ecls	Enterobacter cloacae complex sp. 35734
